,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
126,127,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,65
127,128,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,75
128,129,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,85
129,130,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,95
130,131,"sinI, n",1.000,0.947,0.939,0.942,0.2,exponential,4.0,sqrt,3,55
131,132,"sinI, n",1.000,0.948,0.939,0.942,0.2,exponential,4.0,sqrt,3,45
132,133,"a, sinI, n",1.000,0.946,0.939,0.942,0.2,exponential,,sqrt,3,55
133,134,"a, sinI, n",1.000,0.947,0.939,0.942,0.1,exponential,4.0,sqrt,3,85
134,135,"a, e, n",1.000,0.949,0.940,0.942,0.2,exponential,,sqrt,3,65
135,136,"a, e, n",1.000,0.949,0.940,0.942,0.2,exponential,,sqrt,3,75
136,137,"a, e, sinI",1.000,0.953,0.931,0.942,0.2,exponential,,sqrt,3,85
137,138,"a, e, sinI",1.000,0.953,0.931,0.942,0.2,exponential,,sqrt,3,95
138,139,"a, e, sinI",1.000,0.954,0.932,0.941,0.2,exponential,4.0,sqrt,3,45
139,140,"a, e, sinI, n",1.000,0.955,0.932,0.941,0.1,exponential,4.0,sqrt,3,45
140,141,"a, sinI, n",1.000,0.960,0.924,0.941,0.2,exponential,,sqrt,3,35
141,142,"e, n",1.000,0.949,0.940,0.941,0.2,exponential,4.0,sqrt,3,35
142,143,"e, n",1.000,0.950,0.940,0.941,0.1,exponential,4.0,sqrt,3,75
143,144,"a, e, sinI, n",1.000,0.963,0.925,0.941,0.2,exponential,,sqrt,3,45
144,145,"a, e, sinI, n",1.000,0.963,0.925,0.941,0.2,exponential,,sqrt,3,55
145,146,"a, sinI",1.000,0.960,0.924,0.941,0.2,exponential,,sqrt,3,35
146,147,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,75
147,148,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,85
148,149,"a, e, n",1.000,0.964,0.925,0.941,0.2,exponential,,sqrt,3,35
149,150,"a, e, sinI, n",1.000,0.970,0.917,0.940,0.1,exponential,,sqrt,3,55
150,151,"a, e, sinI, n",1.000,0.970,0.917,0.940,0.2,exponential,,sqrt,3,25
151,152,"a, sinI",1.000,0.968,0.916,0.940,0.2,exponential,,sqrt,3,25
152,153,"a, e, n",1.000,0.977,0.909,0.940,0.1,exponential,,sqrt,3,55
153,154,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,5
154,155,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,15
155,156,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,25
156,157,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,35
157,158,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,45
158,159,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,55
159,160,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,65
160,161,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,75
161,162,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,85
162,163,a,1.000,0.926,0.954,0.940,0.1,log_loss,,sqrt,3,95
163,164,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,35
164,165,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,45
165,166,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,55
166,167,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,65
167,168,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,75
168,169,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,85
169,170,a,1.000,0.926,0.954,0.940,0.1,exponential,,sqrt,3,95
170,171,a,1.000,0.926,0.954,0.940,0.1,exponential,4.0,sqrt,3,85
171,172,a,1.000,0.926,0.954,0.940,0.1,exponential,4.0,sqrt,3,95
172,173,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,5
173,174,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,15
